Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Det_Time_ms,Rand_Time_ms,Speedup,Det_Rebuilds,Rand_Rebuilds,Rebuild_Ratio,Det_StdDev_ms,Rand_StdDev_ms,Det_CV,Rand_CV,Iterations,Tag
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,2004714,Sorted_Time,25755.668,25425.893,1.0129700459291637,28.0,23.7,1.1814345991561181,417.835,775.056,0.016223030984869036,0.030482941149795606,10,states_2022-06-27-00_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1821348,Original,25290.05,23892.501,1.0584932067178734,23.0,27.6,0.8333333333333333,444.354,698.983,0.01757030927182825,0.029255329946412893,10,states_2022-06-27-01_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1821348,Sorted_Time,25032.126,24595.57,1.0177493751923619,21.0,29.0,0.7241379310344828,436.008,1082.806,0.017417937253911234,0.04402443204203033,10,states_2022-06-27-01_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1677278,Original,21947.936,21492.865,1.021173119544556,20.0,24.2,0.8264462809917356,113.366,607.121,0.00516522373675593,0.02824756029500953,10,states_2022-06-27-02_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1677278,Sorted_Time,21677.388,21589.155,1.0040869130820544,24.0,25.1,0.9561752988047808,244.669,415.872,0.011286830313689086,0.01926300496707722,10,states_2022-06-27-02_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1517217,Original,19450.719,19852.958,0.9797390897618381,29.0,24.2,1.1983471074380165,123.411,456.437,0.006344804014699919,0.022990881258097663,10,states_2022-06-27-03_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1517217,Sorted_Time,19833.005,20008.664,0.9912208531264256,27.0,26.7,1.0112359550561798,282.724,211.609,0.014255227586540718,0.010575868533751179,10,states_2022-06-27-03_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1419202,Original,18493.385,18603.98,0.9940553042951024,29.0,24.4,1.1885245901639345,140.117,670.273,0.0075766010386957286,0.03602847347718069,10,states_2022-06-27-04_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1419202,Sorted_Time,18738.799,18682.006,1.0030399840359754,25.0,22.0,1.1363636363636365,333.019,526.904,0.01777162986806145,0.028203823508032272,10,states_2022-06-27-04_4d
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,1516261,Original,19888.073,19468.893,1.021530756782114,21.0,24.7,0.8502024291497976,382.378,353.666,0.019226498213275864,0.01816569642660217,10,states_2022-06-27-05_4d
