Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Algorithm,Mean_Time_ms,Speedup,Rebuilds,StdDev_Time_ms,StdDev_Rebuilds,Iterations
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,200000,Sorted_X_Axis,Deterministic Grid,374.45198,1.7956137672233192,15.0,23.17836,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,200000,Sorted_X_Axis,Randomized Grid,208.53704,1.7956137672233192,18.0,20.87331,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,350000,Sorted_X_Axis,Deterministic Grid,526.57723,1.0637697975341978,18.0,66.91902,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,350000,Sorted_X_Axis,Randomized Grid,495.01051,1.0637697975341978,24.0,40.30896,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,500000,Sorted_X_Axis,Deterministic Grid,802.93986,0.9790572981513367,16.0,73.82565,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,500000,Sorted_X_Axis,Randomized Grid,820.11529,0.9790572981513367,23.0,26.60021,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,50000,Sorted_X_Axis,Deterministic Grid,43.95767,1.1488395869917076,17.0,6.74233,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,50000,Sorted_X_Axis,Randomized Grid,38.26267,1.1488395869917076,23.0,2.74575,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,100000,Sorted_X_Axis,Deterministic Grid,135.35122,1.1695093220328732,13.0,12.42504,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,100000,Sorted_X_Axis,Randomized Grid,115.73334,1.1695093220328732,19.0,7.10163,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,200000,Sorted_X_Axis,Deterministic Grid,314.52706,0.5678271881333063,11.0,22.58805,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,200000,Sorted_X_Axis,Randomized Grid,553.91335,0.5678271881333063,22.0,21.89282,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,350000,Sorted_X_Axis,Deterministic Grid,850.31187,0.84923294502034,19.0,39.57233,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,350000,Sorted_X_Axis,Randomized Grid,1001.27047,0.84923294502034,19.0,47.78577,0.0,5
